isbn,original_title,authors
1419705849,The Third Wheel,Jeff Kinney
1405258217,Code Name Verity,Elizabeth Wein
1416903542," Burned (Burned, #1)",Ellen Hopkins
6472613,Master of the Game,Sidney Sheldon
425201449,The Body Farm,Patricia Cornwell
60845546,The Boy Next Door (Boy #1),Meg Cabot
141026286,Shūtur eli sharrī,"Anonymous, N.K. Sandars"
61345660,The Luxe,Anna Godbersen
072325804X,The Complete Tales of Beatrix Potter,Beatrix Potter
99771810,American Pastoral,Philip Roth
1594634718,Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert
451464397,Skin Game,Jim Butcher
,القرآن‎‎ [al-Qurʾān],Anonymous
373772467,The Darkest Night,Gena Showalter
61474096,Anathem,Neal Stephenson
60852577,The Lacuna,Barbara Kingsolver
552154288,Hogfather,Terry Pratchett
345435168,Open House,Elizabeth Berg
1451661509,The Silver Star,Jeannette Walls
552992097,The Hotel New Hampshire,John Irving
425204669,The Laughing Corpse,Laurell K. Hamilton
051513628X,"Key of Light (Key Trilogy, #1)",Nora Roberts
1416950052,Identical,Ellen Hopkins
785136223,,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King"
307932230,Smokin' Seventeen,"Janet Evanovich, Lorelei King"
7158505,The Sneetches and Other Stories,Dr. Seuss
805053883,"Polar Bear, Polar Bear, What Do You Hear?","Bill Martin Jr., Eric Carle"
3518367064,Demian: Die Geschichte einer Jugend,Hermann Hesse
385333471,"God Bless You, Mr Rosewater or Pearls before Swine",Kurt Vonnegut Jr.
1421505851,スキップ・ビート! 1 ,"Yoshiki Nakamura, Tomo Kimura"
,The Dark Knight Returns,Frank Miller
439249546,Harry Potter Boxed Set Books 1-4,"J.K. Rowling, Mary GrandPré"
1597801577,The Windup Girl,Paolo Bacigalupi
140436065,,"Oscar Wilde, Richard Allen Cave"
525425632,Isla and the Happily Ever After,Stephanie Perkins
441014895,Magic Bites,Ilona Andrews
,This Man Confessed,Jodi Ellen Malpas
1400096278,Suite française ,"Irène Némirovsky, Sandra Smith"
140446745,The Letters of Vincent van Gogh,"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans"
61020672,Sourcery,Terry Pratchett
1932664122,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",Bryan Lee O'Malley
1401204252,Batman: Arkham Asylum - A Serious House on Serious Earth,"Grant Morrison, Dave McKean"
144242673X,P.S. I Still Love You,Jenny Han
1455559822,Memory Man,David Baldacci
156512569X,Mudbound,Hillary Jordan
871137380,Black Hawk Down,Mark Bowden
765376458,A Darker Shade of Magic,"V.E. Schwab, Victoria Schwab"
385513534,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann
385743580,Firefight,Brandon Sanderson
1841493139,The Magicians' Guild,Trudi Canavan
385905165,The Necromancer: The Secrets of The Immortal Nicholas Flamel,Michael Scott
385340583,61 Hours,Lee Child
439324599,Cut,Patricia McCormick
224064908,George's Marvellous Medicine,"Roald Dahl, Quentin Blake"
1400033837,A Thousand Acres,Jane Smiley
805080481,The Book of Three,Lloyd Alexander
441016154,Cry Wolf,Patricia Briggs
689829531,Olivia,Ian Falconer
375705856,Plainsong,Kent Haruf
1560974273,Ghost World,Daniel Clowes
1250006325,Torn,Amanda Hocking
451529693,Отцы и дѣти,"Ivan Turgenev, George Reavy, Jane Costlow"
884271781,The Goal,"Eliyahu M. Goldratt, Jeff Cox"
670021040,Caleb's Crossing,Geraldine Brooks
61284394,Evernight,Claudia Gray
385340559,Bad Luck and Trouble,Lee Child
452286530,The Jane Austen Book Club,Karen Joy Fowler
385539703,The Children Act,Ian McEwan
739377728,Sizzling Sixteen,Janet Evanovich
62301233,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance
1841499900,Caliban's War,James S.A. Corey
1452440026,Barely Breathing,Rebecca Donovan
147712556,Ἰλιάς ; Ὀδύσσεια,"Homer, Robert Fagles, Bernard Knox"
1563893304,Kingdom Come,"Mark Waid, Alex Ross, Elliot S. Maggin"
61120669,Papillon ,Henri Charrière
1573227889,Tipping the Velvet,Sarah Waters
031620157X,"The Wishing Spell (The Land of Stories, #1)","Chris Colfer, Brandon Dorman"
1400063973,The 19th Wife,David Ebershoff
64407314,Monster,Walter Dean Myers
345529057,,George R.R. Martin
743493915,Body of Evidence ,Patricia Cornwell
,Saga #1,"Brian K. Vaughan, Fiona Staples"
60887370,Perfect,Sara Shepard
1939045010,The Secret of Ella and Micha,Jessica Sorensen
345522478,Hounded,Kevin Hearne
743211375,From a Buick 8,Stephen King
553560735,Red Mars,Kim Stanley Robinson
1558611584,The Yellow Wall-paper. A story,"Charlotte Perkins Gilman, Elaine Hedges"
1593083254,The Time Machine and The Invisible Man,"H.G. Wells, Alfred MacAdam"
515121843,Sea Swept,Nora Roberts
031607991X,The Blinding Knife,Brent Weeks
1442435003,Since You've Been Gone,Morgan Matson
446573647,,Steve Martin
761121323,What to Expect When You're Expecting,"Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway"
399244565,The Icebound Land,John Flanagan
61240850,Anybody Out There?,Marian Keyes
804139296,"Zero to One: Notes on Start Ups, or How to Build the Future","Peter Thiel, Blake  Masters"
1619636077,Empire of Storms,Sarah J. Maas
1593080336,,"Charles Dickens, Katharine Kroeber Wiley"
804188971,What Do You Do?,Gillian Flynn
380789027,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman
9382618341,The Oath of the Vayuputras,Amish Tripathi
385333501,Welcome to the Monkey House,Kurt Vonnegut Jr.
385349068,Dad Is Fat,Jim Gaffigan
671869205,Truman,David McCullough
143034758,Alexander Hamilton,Ron Chernow
807218731,The Cat in the Hat and Other Dr. Seuss Favorites,"Dr. Seuss, Various"
140448071,Мёртвые ду́ши,"Nikolai Gogol, Robert A. Maguire"
,The Deal,Elle Kennedy
62392174,The Crown,Kiera Cass
446573019,Zero Day,David Baldacci
312367481,Tikki Tikki Tembo,"Arlene Mosel, Blair Lent"
1416974504,"Night World, No. 1",L.J. Smith
1451533969,"Love Unscripted (Love, #1)",Tina Reber
446608815,Pop Goes the Weasel,James Patterson
,Bully,Penelope Douglas
802136834,The Six Wives of Henry VIII,Alison Weir
140185852,Мы,"Yevgeny Zamyatin, Clarence Brown"
571171788,Pigs in Heaven,Barbara Kingsolver
765354063,The Ghost Brigades,John Scalzi
074326195X,"Cry, The Beloved Country",Alan Paton
,Faeries,"Brian Froud, Alan Lee"
60987529,Confessions of an Ugly Stepsister,Gregory Maguire
3426615355,How to Be Good,Nick Hornby
1442468351,Lady Midnight,Cassandra Clare
1905294719,Tintentod,Cornelia Funke
553293389,Foundation's Edge,Isaac Asimov
486452433,Jude the Obscure,Thomas Hardy
345335651,Queen of Sorcery,David Eddings
374529531,The Lottery: Adventures of the Demon Lover,Shirley Jackson
545060508,,Margaret Peterson Haddix
61668036,Wings ,Aprilynne Pike
316910333,Gossip Girl,Cecily von Ziegesar
553271989,The Odessa File,Frederick Forsyth
1400067685,The Burgess Boys,Elizabeth Strout
,קיצור תולדות האנושות‎‎,Yuval Noah Harari
1609411153,,"Chelsea Handler, Johnny Kansas, Stephanie Stehling, Heather McDonald, Roy Handler, Brad Wollack, Amber Mazzola, Josh Wolf, Shoshanna Handler, Eva Magdalenski, Amy Meyer, Glen Handler, Dave Mallow, Sarah Colonna"
1444705105,Broken Harbor,Tana French
,Down to You,M. Leighton
517053616,The Complete Works,William Shakespeare
61054887,The Dispossessed,Ursula K. Le Guin
1400031575,Mördare utan ansikte,"Henning Mankell, Steven T. Murray"
385528043,The Confession,John Grisham
425192032,Lightning,Dean Koontz
1570425779,Cat & Mouse,"James Patterson, Keith David, Anthony Heald"
142408808,Superfudge,Judy Blume
735221081,The Couple Next Door,Shari Lapena
61996181,Hallowed,Cynthia Hand
031624662X,Ancillary Justice,Ann Leckie
765340747,The Pillars of Creation,Terry Goodkind
60566108,Built to Last: Successful Habits of Visionary Companies,"James C. Collins, Jerry I. Porras"
1616149981,The Life We Bury,Allen Eskens
1595547169,Fireproof,Eric Wilson
140273344,The Eagle Has Landed,Jack Higgins
425201376,The Lunatic Cafe,Laurell K. Hamilton
978970764,John Dies at the End,David Wong
345409469,The Demon-Haunted World: Science as a Candle in the Dark,"Carl Sagan, Ann Druyan"
1906427135,Stolen: A Letter to My Captor,Lucy Christopher
,Solaris,Stanisław Lem
1573225126,Prozac Nation,Elizabeth Wurtzel
080508049X,The Black Cauldron,Lloyd Alexander
525949690,This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin
62294377,The First Phone Call from Heaven,Mitch Albom
031242681X,Possible Side Effects,Augusten Burroughs
1400065755,Still Life with Bread Crumbs,Anna Quindlen
1579126243,The ABC Murders,Agatha Christie
310902711,Holy Bible: New International Version,Anonymous
451235843,Lover Reborn,J.R. Ward
380800829,The Duke and I,Julia Quinn
786930705,Dragons of Spring Dawning,"Margaret Weis, Tracy Hickman"
375508333,A Raisin in the Sun,Lorraine Hansberry
345457692,Altered Carbon,Richard K. Morgan
425184226,The Sum of All Fears,Tom Clancy
,,A.J. Banner
1607066920,"Saga, Volume Two","Brian K. Vaughan, Fiona Staples"
440241014,The Enemy,Lee Child
393244660,Flash Boys: A Wall Street Revolt,Michael   Lewis
375701214,Le Scaphandre et le Papillon,"Jean-Dominique Bauby, Jeremy Leggatt"
805096663,Killing Kennedy: The End of Camelot,"Bill O'Reilly, Martin Dugard"
385539436,,John Grisham
076791936X,The Life and Times of The Thunderbolt Kid: A Memoir,Bill Bryson
312595670,Still Missing,Chevy Stevens
6551815,'Tis: A Memoir,Frank McCourt
1400032059,1491: New Revelations of the Americas Before Columbus,Charles C. Mann
1250060559,Fairest,Marissa Meyer
679763309,An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison
1591451884,,Sarah  Young
451218590,Who's Afraid of Virginia Woolf?,Edward Albee
575077832,Ostatnie życzenie,Andrzej Sapkowski
015603297X,Il pendolo di Foucault,"Umberto Eco, William Weaver"
067056172X,A Pocket for Corduroy,Don Freeman
1594831114,The 5th Horseman,"James Patterson, Maxine Paetro"
330493744,Kushiel's Dart,Jacqueline Carey
1595551387,"Bonhoeffer: Pastor, Martyr, Prophet, Spy",Eric Metaxas
345527712,Explosive Eighteen,Janet Evanovich
61449091,Lies,Michael  Grant
875093663,Pursuit of God,A.W. Tozer
373210361,The Iron Knight,Julie Kagawa
142004332,Maisie Dobbs,Jacqueline Winspear
586217835,Magician,Raymond E. Feist
385729367,Forever in Blue: The Fourth Summer of the Sisterhood,Ann Brashares
552153257,Feet of Clay,Terry Pratchett
307594777,"Män som hatar kvinnor, Flickan som lekte med elden, Luftslottet som sprängdes","Stieg Larsson, Reg Keeland"
,The Butterfly Garden,Dot Hutchison
1842430343,Skinny Legs and All,Tom Robbins
61583219,Destined for an Early Grave,Jeaniene Frost
,In Flight,R.K. Lilley
316159794,Cross,James Patterson
64472779,All-American Girl,Meg Cabot
380713802,Neither Here Nor There: Travels in Europe,Bill Bryson
375832998,Boy Meets Boy,David Levithan
61941026,We Are Water,Wally Lamb
316002895,Max ,James Patterson
312656262,Halo,Alexandra Adornetto
802142818,The Inheritance of Loss,Kiran Desai
586066888,A Darkness at Sethanon ,Raymond E. Feist
812969901,Die Leiden des jungen Werthers,"Johann Wolfgang von Goethe, Burton Pike"
61583073,At Grave's End,Jeaniene Frost
375758992,Don't Let's Go to the Dogs Tonight: An African Childhood,Alexandra Fuller
64404773,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley
316069906,Eating Animals,Jonathan Safran Foer
60577363,Flyte,"Angie Sage, Mark Zug"
6140105234,ساق البامبو [Saq al-Bambu],"سعود السنعوسي, Saud Alsanousi"
62026488,The Girl of Fire and Thorns,Rae Carson
312650086,Enclave,Ann Aguirre
802714625,Longitude,"Dava Sobel, Neil Armstrong"
751530492,Unnatural Exposure,Patricia Cornwell
553213482,Faust. Eine Tragödie,"Johann Wolfgang von Goethe, Peter Salm"
684818868,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,James W. Loewen
553582461,Fool's Fate,Robin Hobb
1600102379,Welcome to Lovecraft,"Joe Hill, Gabriel Rodríguez"
1406310263,The Ask and the Answer,Patrick Ness
446363251,Scarlett: The Sequel to Margaret Mitchell's Gone With the Wind,Alexandra Ripley
425205673,Bloody Bones,Laurell K. Hamilton
684843781,This Side of Paradise,F. Scott Fitzgerald
670023329,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West ,Blaine Harden
006057299X,Every Which Way But Dead,Kim Harrison
1400068320,Eligible,Curtis Sittenfeld
039333712X,Seven Days in the Art World,Sarah Thornton
7246226,The Children of Húrin,"J.R.R. Tolkien, Christopher Tolkien, Alan Lee"
785289089,The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey
316058432,Mr. Popper's Penguins,"Richard Atwater, Florence Atwater, Robert Lawson"
765340054,Shadow Puppets,Orson Scott Card
,The Magician's Land,Lev Grossman
679732268,Light in August,William Faulkner
64408671,The Trumpet of the Swan,"E.B. White, Fred Marcellino"
812993802,Tenth of December,George Saunders
312593554,Night Pleasures,Sherrilyn Kenyon
671015206,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,"Thomas J. Stanley, William D. Danko"
1423116380,Don't Judge a Girl by Her Cover,Ally Carter
743244583,Chronicles: Volume One,Bob Dylan
60920084,The Lost Continent: Travels in Small-Town America,Bill Bryson
140006712X,Dreams of Joy (Shanghai Girls #2),Lisa See
446607207,Tell Me Your Dreams,Sidney Sheldon
60885416,By the Shores of Silver Lake,"Laura Ingalls Wilder, Garth Williams"
61053562,The Player of Games,Iain M. Banks
440228891,,"George Selden, Garth Williams"
787960756,The Five Dysfunctions of a Team,Patrick Lencioni
142003166,Junky,"William S. Burroughs, Oliver  Harris, Allen Ginsberg"
140157352,Getting to Yes: Negotiating agreement without giving in,"Roger Fisher, William Ury, Bruce Patton"
,Mile high (Up In The Air #2),R.K. Lilley
1501110349,November 9,Colleen Hoover
,Everything We Keep,Kerry Lonsdale
,The Mighty Storm,Samantha Towle
1408816032,The Song of Achilles,Madeline Miller
1501139886,The Girl with the Lower Back Tattoo,Amy Schumer
140449183,भगवद्गीता [Bhagavadgītā],"Krishna-Dwaipayana Vyasa, Simon Brodbeck, Juan Mascaró"
143039830,The New York Trilogy,"Paul Auster, Art Spiegelman"
043912042X,Esperanza Rising,Pam Muñoz Ryan
316766941,"Raise High the Roof Beam, Carpenters / Seymour: An Introduction",J.D. Salinger
446617687,Sex and the City,Candace Bushnell
425209067,"The Killing Dance (Anita Blake, Vampire Hunter, #6)",Laurell K. Hamilton
014044923X,Jenseits von Gut und Böse: Vorspiel einer Philosophie der Zukunft,"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner"
044022800X,The Watsons Go to Birmingham - 1963,Christopher Paul Curtis
876852630,Factotum,Charles Bukowski
373210515,The Immortal Rules,Julie Kagawa
446546933,Columbine,Dave Cullen
99471434,Lasher,Anne Rice
,,Laila Ibrahim
525953728,No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,"Mark Owen, Kevin Maurer"
1594487014,The Chaperone,Laura Moriarty
684193957,All That Remains,Patricia Cornwell
451191013,The Regulators,"Richard Bachman, Stephen King"
1563890356,The Sandman: Season of Mists,"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison"
316013935,Judge & Jury,"James Patterson, Andrew Gross"
1416500340,Silas Marner: The Weaver of Raveloe,George Eliot
1622660757,Origin,Jennifer L. Armentrout
375760393,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan
316123536,Beautiful Redemption,"Kami Garcia, Margaret Stohl"
1439152780,The Distant Hours,Kate Morton
751554154,I Let You Go,Clare Mackintosh
439295785,Kidnapped,Robert Louis Stevenson
306814250,"Friday Night Lights: A Town, a Team, and a Dream",H.G. Bissinger
618683356,Beautiful Boy: A Father's Journey Through His Son's Meth Addiction,David Sheff
,"The Vincent Brothers (The Vincent Boys, #1)",Abbi Glines
1594561869,The Cask of Amontillado,Edgar Allan Poe
014044789X,Metamorphoses,"Ovid, David Raeburn, Denis Feeney"
452274427,In the Time of the Butterflies,Julia Alvarez
743203631,Gap Creek : The Story Of A Marriage (Oprah's Book Club),Robert Morgan
983157200,Half-Blood,Jennifer L. Armentrout
1582404119,The Legend of Sleepy Hollow,"Bo Hampton, Tracey Hampton, Washington Irving"
451217608,"Bitter is the New Black : Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",Jen Lancaster
399159371,The Witness,Nora Roberts
380820889,Blindsighted,Karin Slaughter
140169300,Angle of Repose,Wallace Stegner
743457900,"Tinker, Tailor, Soldier, Spy",John le Carré
142501107,Lord Brocktree,Brian Jacques
62072064,Through the Ever Night,Veronica Rossi
316018589,Barefoot,Elin Hilderbrand
1594481954,My Friend Leonard,James Frey
811216012,Cat on a Hot Tin Roof,Tennessee Williams
316002860,The Final Warning,James Patterson
553582453,The Golden Fool,Robin Hobb
446614459,Split Second,David Baldacci
316069353,The Fifth Witness,Michael Connelly
756402697,The Dragonbone Chair,Tad Williams
2844140580,,Marjane Satrapi
1589190629,At Home in Mitford (Mitford Years #1),Jan Karon
446563048,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh
142405787,Scorpia,Anthony Horowitz
62290363,The Queen of the Tearling,Erika Johansen
545060427,"One False Note (The 39 Clues, Book 2)",Gordon Korman
689867042,Tithe: A Modern Faerie Tale,Holly Black
515133310,Echo Burning,Lee Child
61140988,The Fury and Dark Reunion,L.J. Smith
,Never Never,"Colleen Hoover, Tarryn Fisher"
62197266,Into the Darkest Corner,Elizabeth Haynes
140079076,The Further Adventures of Sherlock Holmes (Classic Crime),"Richard Lancelyn Green, Ronald Knox, Julian Symons, Various"
446605484,Roses Are Red,James Patterson
765344300,"Naked Empire (Sword of Truth, #8)",Terry Goodkind
60765240,Map of Bones,James Rollins
525953507,The Stranger,Harlan Coben
60887397,Unbelievable,Sara Shepard
014144116X,A Passage to India,"E.M. Forster, Oliver Stallybrass, Pankaj Mishra"
,Seraphina,Rachel Hartman
515141658,Morrigan's Cross,Nora Roberts
553381644,The Mammoth Hunters,Jean M. Auel
441016383,Princeps' Fury,Jim Butcher
380017601,Love Story,Erich Segal
688147321,Chrysanthemum,Kevin Henkes
62085611,Sweet Evil,Wendy Higgins
316952664,The Winds of War,Herman Wouk
,The Wind Through the Keyhole,"Stephen King, Jae Lee"
60887184,The Last Kingdom,Bernard Cornwell
887307280,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber
1416928170,Bunnicula: A Rabbit-Tale of Mystery,"James Howe, Deborah Howe, Alan Daniel"
786939834,Exile ,R.A. Salvatore
1250006333,Ascend,Amanda Hocking
525952489,Kvinden i buret,"Jussi Adler-Olsen, Lisa Hartford"
517405091,Del amor y otros demonios,Gabriel García Márquez
142312166X,,Rick Riordan
676979785,Musicophilia: Tales of Music and the Brain,Oliver Sacks
1501129740,End of Watch,Stephen King
60590319,Fool,Christopher Moore
743298853,The Book of Lost Things,John Connolly
140003003X,My Life,Bill Clinton
1569714029,300,"Frank Miller, Lynn Varley"
545060494,Storm Warning,Linda Sue Park
1423128206,Only the Good Spy Young,Ally Carter
440241006,The Persuader,Lee Child
425212890,,Charlaine Harris
8203180728,Flaggermusmannen,"Jo Nesbø, Don Bartlett"
515143804,"Blood Brothers (Sign of Seven, #1)",Nora Roberts
425185508,Picture Perfect,Jodi Picoult
1591162203,るろうに剣心 1,"Nobuhiro Watsuki, Kenichiro Yagi"
1402262272,Catching Jordan,Miranda Kenneally
60730552,Touching the Void: The True Story of One Man's Miraculous Survival,Joe Simpson
,This Girl,Colleen Hoover
670869392,There Was an Old Lady Who Swallowed a Fly,Simms Taback
1932073205,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman
312270828,The Satanic Verses,Salman Rushdie
385523904,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick
60753943,Winning,"Jack Welch, Suzy Welch"
,Collide,Gail McHugh
618620117,How We Decide,Jonah Lehrer
553381520,The Beekeeper's Apprentice,Laurie R. King
394805755,"Histoire de Babar, le petit éléphant","Jean de Brunhoff, Merle S. Haas"
385735332,The Warlock,Michael Scott
044101769X,First Lord's Fury,Jim Butcher
385343663,The Imperfectionists,Tom Rachman
,The Sea of Tranquility,Katja Millay
375714669,Persepolis 2 ,"Marjane Satrapi, Anjali Singh"
61020656,Pyramids,Terry Pratchett
586064176,Silverthorn,Raymond E. Feist
385613466,Before I Die,Jenny Downham
670021652,Committed: A Skeptic Makes Peace with Marriage,Elizabeth Gilbert
142401765,Keeping the Moon,Sarah Dessen
62285637,Four: The Transfer,Veronica Roth
765344319,"Chainfire (Sword of Truth, #9)",Terry Goodkind
375413405,Mastering the Art of French Cooking,"Julia Child, Simone Beck, Louisette Bertholle"
1421540320,青の祓魔師 1,"Kazue Kato, John Werry"
765315238,"Confessor (Sword of Truth, #11)",Terry Goodkind
151013047,The Reluctant Fundamentalist,Mohsin Hamid
545284139,The False Prince,Jennifer A. Nielsen
449911659,"Rabbit, Run",John Updike
1400077427,Stumbling on Happiness,Daniel Todd Gilbert
015694877X,The Waste Land and Other Poems,T.S. Eliot
590319671,Little Bear,"Else Holmelund Minarik, Maurice Sendak"
146000110,The Pit and the Pendulum,Edgar Allan Poe
055215315X,Lords and Ladies,Terry Pratchett
552152676,Thud!,Terry Pratchett
345481283,His Majesty's Dragon,Naomi Novik
689859368,The Field Guide,"Holly Black, Tony DiTerlizzi"
1601422210,,David Platt
140280197,The 48 Laws of Power,"Robert Greene, Joost Elffers"
142401110,My Side of the Mountain ,Jean Craighead George
749080973,The Winter Sea,"Susanna Kearsley, Rosalyn Landor"
545135702,The Sword Thief,Peter Lerangis
451159535,Coma,Robin Cook
1560252480,Requiem for a Dream,"Hubert Selby Jr., Darren Aronofsky, Richard Price"
61284203,Into the Wild,Erin Hunter
805066691,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown
057506708X,Śmierć Miasta ,"Władysław Szpilman, Anthea Bell"
425267040,Rush,Maya Banks
1411415930,The Picture of Dorian Gray: A Graphic Novel ,"Ian Edginton, Oscar Wilde, I.N.J. Culbard"
671741039,Swan Song,Robert McCammon
030727103X,The Buried Giant,Kazuo Ishiguro
345459407,Perdido Street Station,China Miéville
1599903385,Need,Carrie Jones
61020613,Witches Abroad,Terry Pratchett
014043769X,"The Sketch Book of Geoffrey Crayon, Gent","Geoffrey Crayon, Washington Irving, William L. Hedges"
441328008,Heretics of Dune,Frank Herbert
515090255,The Cross and the Switchblade,"David Wilkerson, John Sherrill, Elizabeth Sherrill"
441015271,Captain's Fury,Jim Butcher
385671105,Damned,Chuck Palahniuk
439443822,Rules,Cynthia Lord
307263991,Swamplandia!,Karen Russell
075280944X,The Last Coyote,Michael Connelly
142001619,Salt: A World History,Mark Kurlansky
037575850X,Villette,"Charlotte Brontë, A.S. Byatt, Μαρία Λαϊνά, Ignes Sodre"
61977969,Reamde,Neal Stephenson
057506689X,Soul Music,Terry Pratchett
,Notorious Nineteen,Janet Evanovich
059306173X,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins
1593072937,Sin City Volume 1: The Hard Goodbye,Frank Miller
055327757X,The Greatest Salesman in the World,Og Mandino
014200202X,Casino Royale,Ian Fleming
6513220,The Bronze Horseman,Paullina Simons
452283868,Sula,Toni Morrison
,The Atlantis Gene,A.G. Riddle
1416563725,The Red Queen,Philippa Gregory
425233383,Something About You,Julie James
7169914,Mr. Brown Can Moo! Can You?,Dr. Seuss
034547063X,Black House ,"Stephen King, Peter Straub"
785123113,Marvel 1602,"Neil Gaiman, Andy Kubert, Richard Isanove, Peter Sanderson"
743270371,Act of Treason,Vince Flynn
307959945,The Dog Stars,Peter Heller
,The Spy Who Came In from the Cold,John le Carré
441013406,Academ's Fury,Jim Butcher
446676438,When the Wind Blows,James Patterson
4103534222,1Q84 Book 1 [Ichi-kyū-hachi-yon],"Haruki Murakami, 村上 春樹"
722534876,O Diário de um Mago,"Paulo Coelho, Alan R. Clarke"
385336691,The Hard Way,Lee Child
440226708,The Incredible Journey,Sheila Burnford
143036661,March,Geraldine Brooks
307749606,A Wanted Man,"Lee Child, Dick Hill"
1401209149,All-Star Superman (Volume 1),"Grant Morrison, Frank Quitely"
1780484259,A Song of Ice and Fire,George R.R. Martin
425259854,Dark Witch,Nora Roberts
312590970,Dark Flame,Alyson Noel
1101990260,The Widow,Fiona Barton
545060451,The Black Circle,Patrick Carman
62248162,The Prince,Kiera Cass
374384681,The Winner's Curse,Marie Rutkoski
679766758,Push,Sapphire
1609451341,Storia del nuovo cognome,"Elena Ferrante, Ann Goldstein"
345413970,2010: Odyssey Two,Arthur C. Clarke
759530017,ソウルイーター 1,Atsushi Ohkubo
1451645821,Ordinary Grace,William Kent Krueger
446611778,Last Man Standing,David Baldacci
1596431520,American Born Chinese,Gene Luen Yang
307001040,Peter Pan (Little Golden Book),"Eugene Bradley Coco, Ron Dias, Walt Disney Company"
991686004,Ten Tiny Breaths,K.A. Tucker
1400065453,The Thousand Autumns of Jacob de Zoet,David Mitchell
486282082,The Tragical History of the Life and Death of Doctor Faustus,Christopher Marlowe
312984839,Dance with the Devil,Sherrilyn Kenyon
786887079,Lipstick Jungle,Candace Bushnell
446611212,Violets Are Blue,James Patterson
671791540,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!","Anthony Robbins, Tony Robbins, Frederick L. Covan"
515134457,"Blue Moon (Anita Blake, Vampire Hunter, #8)",Laurell K. Hamilton
515134473,"Burnt Offerings (Anita Blake, Vampire Hunter, #7)",Laurell K. Hamilton
1250010713,The Silent Sister,Diane Chamberlain
385333781,Player Piano,Kurt Vonnegut Jr.
812967259,The Lost World ,Arthur Conan Doyle
,Monstrous Regiment,Terry Pratchett
807083690,Kindred,Octavia E. Butler
60885424,"The Long Winter (Little House, #6)","Laura Ingalls Wilder, Garth Williams"
310247454,Boundaries,"Henry Cloud, John Townsend"
545424968,"Blue Lily, Lily Blue",Maggie Stiefvater
99399016,Portnoy's Complaint,"Philip Roth, Luca Marinelli"
785274316,The 21 Irrefutable Laws of Leadership,"John C. Maxwell, Zig Ziglar"
385491026,Cat's Eye,Margaret Atwood
,The Perfect Game,J. Sterling
1406310271,Monsters of Men,Patrick Ness
1841492051,Shadow of the Giant,Orson Scott Card
545027896,Wonderstruck,Brian Selznick
446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach
1442429984,Blood Red Road ,Moira Young
316014796,The 6th Target,"James Patterson, Maxine Paetro"
143104888,A Princess of Mars,"Edgar Rice Burroughs, John Seelye"
385528787,MaddAddam,Margaret Atwood
60264802,These Happy Golden Years,"Laura Ingalls Wilder, Garth Williams"
812971426,Color: A Natural History of the Palette,Victoria Finlay
99481685,Skipping Christmas,John Grisham
446613444,,Michael Connelly
312577206,Home Front,Kristin Hannah
1476731535,Beautiful Stranger,Christina Lauren
385730306,The Sweet Far Thing,Libba Bray
375702709,A Lesson Before Dying,Ernest J. Gaines
349119759,SantaLand Diaries,David Sedaris
1455520616,See Me,Nicholas Sparks
385342047,Mini Shopaholic,Sophie Kinsella
60268654,,"Gene Zion, Margaret Bloy Graham"
145161778X,,Jennifer Weiner
015626224X,Down and Out in Paris and London,George Orwell
1427814031,会長はメイド様! 1,Hiro Fujiwara
1551924013,Griffin & Sabine: An Extraordinary Correspondence,Nick Bantock
080509461X,Ruin and Rising,Leigh Bardugo
9773513912,يوتوبيا,أحمد خالد توفيق
